"year","country","population","gdp","per_capita_gdp"
1873,"Nigeria",10599.322175,3987.665475,358.3048175
1873,"North.Korea",4537.93023255814,2831.88372093023,622.583234883721
1873,"Norway",1767,2618.0067500752,1481.61106399276
1873,"Oman",372.372093023256,43.7503935,332.88265875
1873,"Pakistan",12435.10925,3594.37788461538,343.52753375
1873,"Panama",184.7,155.8205568,510.45724
1873,"Paraguay",389.6,210.652773913043,433.312443478261
1873,"Peru",2717,1067.68483076923,537.0558
1873,"Philippines",5274.95,3342.75,628.515040625
1873,"Portugal",4405,4353,988.195232690125
1873,"Puerto.Rico",676.4,426.38522875,558.24921375
1873,"Qatar",7.912488275,109.6139575,16234.0487875
1873,"Rwanda",813.17122625,222.29059625,260.346115
1873,"Sao.Tome.and.Principe",19.9106435,8.1642897,390.52168125
1873,"Saudi.Arabia",2361.58139534884,1237.38282,1191.7665
1873,"Senegal",884.57422375,556.61447875,599.28338625
1873,"Seychelles",10.968019625,10.483452575,910.3074425
1873,"Sierra.Leone",695.70744625,228.21163375,312.40863375
1873,"Singapore",94.95,82.1162790697674,723.758823255814
1873,"Somalia",812.670285,429.20833375,502.99752125
1873,"South.Africa",2798.58139534884,2720.25581395349,909.786720930232
1873,"South.Korea",9767.25,6071.73170731707,619.46212195122
1873,"Spain",16372,26156,1597.60566821402
1873,"Sri.Lanka",2863,2257,788.3339
1873,"Sudan",2683.8034375,1101.12625875,390.74945
1873,"Swaziland",92.46432275,33.326727375,343.26578875
1873,"Sweden",4274,6202,1451.099672438
1873,"Switzerland",2715,5844,2152.4861878453
1873,"Syria",1610.74418604651,1429.67441860465,879.183502325581
1873,"T.and.Tobago",138.4,208.21592375,956.718675
1873,"Taiwan",2368.25,1336.06451612903,556.273758064516
1873,"Tanzania",2645.0596125,560.19291,201.703835
1873,"Thailand",5909.25,3768.7,634.36429
1873,"Three.Small.Afr.",11.96772425,4.4986904,358.0029725
1873,"Togo",390.64499,112.077682375,273.2429725
1873,"Tunisia",1224.41860465116,807.279069767442,650.111327906977
1873,"Turkey",12016.7441860465,10319.6511627907,852.052
1873,"UAE",22.544968125,162.36883625,8439.701725
1873,"UK",32177,108265.876,3364.69764117227
1873,"Uganda",1840.6449875,631.923,326.9686125
1873,"Uruguay",376,978,2601.064
1873,"Venezuela",1725,1055.645,594.45961
1873,"Vietnam",11142.7209302326,5930.83720930233,520.882769767442
1873,"W.Bank.and.Gaza",447.906976744186,360.581395348837,785.425860465116
1873,"X24.Sm.E.Asia",1926.3023255814,1064.32558139535,550.081202325581
1873,"Yemen",2870.97674418605,625.57152875,486.8169175
1873,"Zaire",4523.0666875,1288.0742,271.218875
1873,"Zambia",851.02751625,281.13536375,314.61818875
1873,"Zimbabwe",951.0810225,333.23634375,333.69276875
1873,"canada",3943,7262.528,1841.87877250824
1873,"usa",43174,112436,2604.25255941076
1874,"Afghanistan",4348.67441860465,813.631915,348.355155
1874,"Algeria",3936.09302325581,3043.72093023256,756.746530232558
