""	"year"	"country"	"population"	"gdp"	"per_capita_gdp"
"242"	"1990"	"usa"	"250131.894"	"250131.894"	"250131.894"
"243"	"1991"	"canada"	"28117.6"	"28117.6"	"28117.6"
"244"	"1991"	"usa"	"253492.503"	"253492.503"	"253492.503"
"245"	"1992"	"canada"	"28545"	"28545"	"28545"
"246"	"1992"	"usa"	"256894.189"	"256894.189"	"256894.189"
"247"	"1993"	"canada"	"28953"	"28953"	"28953"
"248"	"1993"	"usa"	"260255.352"	"260255.352"	"260255.352"
"249"	"1994"	"canada"	"29331"	"29331"	"29331"
"250"	"1994"	"usa"	"263435.673"	"263435.673"	"263435.673"
"251"	"1995"	"canada"	"29691"	"29691"	"29691"
"252"	"1995"	"usa"	"266557.091"	"266557.091"	"266557.091"
"253"	"1996"	"canada"	"30026"	"30026"	"30026"
"254"	"1996"	"usa"	"269667.391"	"269667.391"	"269667.391"
"255"	"1997"	"canada"	"30305.843"	"30305.843"	"30305.843"
"256"	"1997"	"usa"	"272911.76"	"272911.76"	"272911.76"
"257"	"1998"	"canada"	"30552"	"30552"	"30552"
"258"	"1998"	"usa"	"276115.288"	"276115.288"	"276115.288"
"259"	"1999"	"canada"	"30821"	"30821"	"30821"
"260"	"1999"	"usa"	"279294.713"	"279294.713"	"279294.713"
"261"	"2000"	"canada"	"31100"	"31100"	"31100"
"262"	"2000"	"usa"	"282158"	"282158"	"282158"
"263"	"2001"	"canada"	"31377"	"31377"	"31377"
"264"	"2001"	"usa"	"284915"	"284915"	"284915"
"265"	"2002"	"canada"	"31641"	"31641"	"31641"
"266"	"2002"	"usa"	"287501"	"287501"	"287501"
"267"	"2003"	"canada"	"31889"	"31889"	"31889"
"268"	"2003"	"usa"	"289986"	"289986"	"289986"
"269"	"2004"	"canada"	"32135"	"32135"	"32135"
"270"	"2004"	"usa"	"292806"	"292806"	"292806"
"271"	"2005"	"canada"	"32386"	"32386"	"32386"
"272"	"2005"	"usa"	"295583"	"295583"	"295583"
"273"	"2006"	"canada"	"32657"	"32657"	"32657"
"274"	"2006"	"usa"	"298442"	"298442"	"298442"
"275"	"2007"	"canada"	"32386"	"32386"	"32386"
"276"	"2007"	"usa"	"301280"	"301280"	"301280"
"277"	"2008"	"canada"	"33213"	"33213"	"33213"
"278"	"2008"	"usa"	"304228"	"304228"	"304228"
